"title","link","category","starttime","endtime","location","chairs","session_text"
"CAA Committee on Women in the ArtsWomen in the Marketplace: The Rise of the Artisan Cooperative","http://conference.collegeart.org/programs/testcaa-committee-on-women-in-the-artswomen-in-the-marketplace-the-rise-of-the-artisan-cooperative/","Sessions",2015-02-11 09:30:00,2015-02-11 12:00:00,"Hilton New York, 3rd Floor, Trianon Ballroom","Claudia Sbrissa, St. John’s University","Trailblazing for Creative Careers; Jenn Dierdorf, A.I.R. Gallery; J; nne M; arland, A.I.R. Gallery; Dynamic Symbiotic Entrepreneurship: SPINNA Circle’s Novel Collective Women’s Empowerment Platform; Rupa Ganguli, SPINNA Circle and Clothing Connect; Sewn on the Street: We Look Good, but We’re Fast, Cheap, and Out of Control; Rebecca K. Layton, Rekh & Datta; Invisible Visible: Women Creative Communities in the Arab World; Cecilia Mandrile, University of New Haven and University of the West of England; Craft Power: Enhancing the Power of Women through Traditional Arts; Melissa Hilliard Potter, Columbia College Chicago; Miriam Schaer, Columbia College Chicago"
"Performative Architecture before the Modern Era","http://conference.collegeart.org/programs/performative-architecture-before-the-modern-era/","Sessions",2015-02-11 09:30:00,2015-02-11 12:00:00,"Hilton New York, 2nd Floor, Beekman Parlor","Wei-cheng Lin, University of North Carolina at Chapel Hill","Beyond Gladiators: Performance, Memory, and the Roman Triumph in the Colosseum; Maggie L. Popkin, Case Western Reserve University; Late Roman Villas in the Theatrical Mode; John W. Stephenson, Emory University; Moving Forward, Looking Back: Spatial Perception in the Benedictine Abbey of Saint-Germain d’Auxerre; Anne Heath, Hope College; The Question of the Apparato: Plurality and Enclosure in Renaissance Theatrical Environments; Javier Berzal de Dios, Western Washington University; The Performance of Commerce: Spatial Practices in the Royal Exchange in Seventeenth-Century London; Hyeyun Chin, Binghamton University, State University of New York; Between Stories: Palazzo Rucellai as Icon, as Idyll; Allison Levy, independent scholar; Discussant: Annabel J. Wharton, Duke University; Katherine F. Taylor, University of Chicago"
"The Budapest Sunday Circle and Art History: Lukács, Mannheim, Antal, Hauser, Balázs, and the Critique of Culture","http://conference.collegeart.org/programs/the-budapest-sunday-circle-and-art-history-lukacs-mannheim-antal-hauser-balazs-and-the-critique-of-culture/","Sessions",2015-02-11 09:30:00,2015-02-11 12:00:00,"Hilton New York, 3rd Floor, West Ballroom","Paul Jaskot, DePaul University; Andrew F. Hemingway, University College London","Cézanne, Lukács’s Cultural Critique, and the Hungarian Avant-Garde; Edit Toth, Penn State Altoona; Georg Lukács, Radicalized Place Making, and the Challenge of New Media to the History of Modern Art; Dorothy L. J. Barenscott, Kwantlen Polytechnic University; Balázs, the Sunday Circle, and Aesthetic Praxis; Eszter Polonyi, Columbia University; Marxist Interpretations of Realism: Lukács’s Literary Paradigms and the Art-Historical Perspectives of Antal and Hauser; Alex Potts, University of Michigan; Toward a Marxist Theory of Satire? The Sonntagskreis Art Historians on Graphic Satire; Grant W. Mandarino, University of Michigan"
"Installing Abstraction","http://conference.collegeart.org/programs/installing-abstraction/","Sessions",2015-02-11 09:30:00,2015-02-11 12:00:00,"Hilton New York, 2nd Floor, Nassau Suite","Paul Galvez, Wellesley College","Between Rooms and Their Times: Reinstalling Weimar Republic Hanover; Rebecca K. Uchill, Massachusetts Institute of Technology; Whatever Happened to Fritz Winter? Or Documenta I, Sixty Years Later; Max Rosenberg, Yale University; Showing Simon Hantaï; Molly J. Warnock, Johns Hopkins University; All Together Now: Curating Wade Guyton OS; Scott Rothkopf, Whitney Museum of American Art"
"American Illustration and the Art Historical Canon","http://conference.collegeart.org/programs/american-illustration-and-the-art-historical-canon/","Sessions",2015-02-11 09:30:00,2015-02-11 12:00:00,"Hilton New York, 3rd floor, Rendezvous Trianon","Dennis Dittrich, New Jersey City University","Neither Avant-Garde nor Kitsch; Dennis Raverty, New Jersey City University; The Rise of Norman Rockwell and American Illustration Art; Laurie Norton Moffatt, Norman Rockwell Museum; The Transatlantic Influence of the Académie Julian on American Illustration, 1890–1914; Karen L. Carter, Kendall College of Art and Design; Teaching Illustration History: Why and How; Alice Carter, San Jose State University"
"Curating Virtually: New Media and Digital Arts Global Interventions","http://conference.collegeart.org/programs/curating-virtually-new-media-and-digital-arts-global-interventions/","Sessions",2015-02-11 09:30:00,2015-02-11 12:00:00,"Hilton New York, 3rd Floor, Mercury Ballroom","Jan Christian Bernabe, Center for Art and Thought","Designing for Virtual Engagement: Means, Modes, and Motivations; Mimi M. Young, Behavior Design; Reading Exhibitions in The Post-Internet Age; Francesca Baglietto, Chelsea College of Art and Design; Curating Public Interventions Online: Para-Sites 2014 Distributed Exhibition Project; Yunjin La-mei Woo, Indiana University; The Museum with(out) Walls: The Return of the Third Dimension in Virtual Curation; Noelle C. Paulson, Washington University in St. Louis; Discussant: Jan Christian Bernabe, Center for Art and Thought"
"Chelsea Gallery District Walking Tour","http://conference.collegeart.org/programs/chelsea-gallery-district-walking-tour/","Events",2015-02-11 12:00:00,2015-02-11 14:30:00,NA,NA,"Join expert art gallery guide Merrily Kerr on a trip to the Chelsea gallery district, where you will visit the most important and talked-about gallery shows of the moment. Kerr, a New York art critic and writer, has devised an itinerary that includes around six of the season’s most important shows by emerging and established artists working in a variety of disciplines.; Directions: Meet the tour guide in the assembly area in the Hilton Hotel main lobby, main entrance, at 12:00 PM to travel together by public transportation. Round-trip travel will cost $5; please purchase your Metrocard in advance at the subway station."
"CAA Education CommitteeLearning to Teach and Teaching to Learn: Developing a Scholarship of Teaching and Learning for Art History","http://conference.collegeart.org/programs/caa-education-committeelearning-to-teach-and-teaching-to-learn-developing-a-scholarship-of-teaching-and-learning-for-art-history/","Sessions",2015-02-11 12:30:00,2015-02-11 14:00:00,"Hilton New York, 3rd Floor, Petit Trianon","Leda Cempellin, South Dakota State University; Julia A. Sienkewicz, Duquesne University","S; L: What Difference Does It Make?; Andrea Pappas, Santa Clara University; A Skills-Based Approach to the Traditional Art History Survey; Laetitia La Follette, University of Massachusetts Amherst; Turning 200 Students to Seven Million: What We’re Learning at Smarthistory at Khan Academy; Beth Harris, Khan Academy; Steven Zucker, Khan Academy; S; L, the Tenure Process, and Art History’s Scholarly Hierarchies; Anne D’Alleva, University of Connecticut"
"Catalogue Raisonné Scholars Association Catalogue Raisonné Case Studies: New Findings, Fresh Insights, and Important Reconsiderations","http://conference.collegeart.org/programs/catalogue-raisonne-scholars-association-catalogue-raisonne-case-studies-new-findings-fresh-insights-and-important-reconsiderations/","Sessions",2015-02-11 12:30:00,2015-02-11 14:00:00,"Hilton New York, 2nd Floor, Gramercy B","Susan Cooke, Estate of David Smith","Rewriting the Life and Work of the Flemish Engraver Nicolaes de Bruyn (1571–1656); Lorena Baines, National Gallery of Art; Considering Place: A Case Study for Expanding the Horizons of the Catalogue Raisonné; Erin Coe, Boston University; Letters and Watercolors from behind Barbed Wire: A Further Perspective on Hans Reichel’s Artistic Oeuvre; Deborah Browning-Schimek, New York University; Titles, Dates, and the Making of Art History: Primary Sources in Hofmann Scholarship; Juliana Kreinik, Peter Campus Catalogue Raisonné; According to the Artist: Compiling the Jack Bush Catalogue Raisonné of Paintings; Sarah Stanners, University of Toronto"
"Society of Contemporary Art HistoriansHistories and Economies of Contemporary Art","http://conference.collegeart.org/programs/society-of-contemporary-art-historianshistories-and-economies-of-contemporary-art/","Sessions",2015-02-11 12:30:00,2015-02-11 14:00:00,"Hilton New York, 2nd Floor, Gramercy A","Suzanne Hudson, University of Southern California; Kirsten J. Swenson, University of Massachusetts, Lowell","Rhea Anastas, University of California, Irvine; Katy Siegel, Hunter College, City University of New York; Howard M. Singerman, Hunter College, City University of New York; Nato Thompson, Creative Time"
"Association of Academic Museums and GalleriesEngaging Intersections: The Academic Gallery as a Catalyst for Connection","http://conference.collegeart.org/programs/association-of-academic-museums-and-galleriesengaging-intersections-the-academic-gallery-as-a-catalyst-for-connection/","Sessions",2015-02-11 12:30:00,2015-02-11 14:00:00,"Hilton New York, 3rd Floor, Trianon Ballroom","Neysa Page-Lieberman, Columbia College Chicago; Shelly Rosenblum, University of British Columbia","Curatorial Collaboration: Organizing a Multidisciplinary Exhibition through a Student Seminar; Emily Croll, The College of New Jersey Art Gallery; Small Museum, Smaller Staff, and the Importance of Student Involvement; Erika M. Leppmann, Schneider Museum of Art, Southern Oregon University; Expanding the Exhibition: Using Socially-Engaged Practice to Connect Students and Communities; Neysa Page-Lieberman, Columbia College Chicago; Interdisciplinary Research Models: Examples from the Morris and Helen Belkin Art Gallery; Shelly Rosenblum, University of British Columbia"
"Visual Culture CaucusOccupation and Representation","http://conference.collegeart.org/programs/visual-culture-caucusoccupation-and-representation/","Sessions",2015-02-11 12:30:00,2015-02-11 14:00:00,"Hilton New York, 3rd Floor, Mercury Ballroom","Kristen Oehlrich, Williams College","Through the Looking Glass: Karl Hubbuch and Hilde Isay; Shannon Connelly, independent scholar; Occupying Roles: Billy Al Bengston in Print; Monica Steinberg, The Graduate Center, City University of New York; Samuel Fosso and the Studio: Occupational Self-Portraits; Monica C. Bravo, Brown University"
"International Association of Art CriticsHow Dare We Criticize: Contemporary Art Critics on the State of Their Art","http://conference.collegeart.org/programs/international-association-of-art-criticshow-dare-we-criticize-contemporary-art-critics-on-the-state-of-their-art/","Sessions",2015-02-11 12:30:00,2015-02-11 14:00:00,"Hilton New York, 2nd Floor, Beekman Parlor","Barry Schwabsky, The Nation","John Yau, Hyperallergic; Andrea Scott, The New Yorker; Michelle A. Grabner, School of the Art Institute of Chicago; David Pagel, Los Angeles Times"
"CAA Student and Emerging Professionals CommitteeThe ArtLife Connundrum: Creating Balance between a Career in the Arts and Life Concerns","http://conference.collegeart.org/programs/caa-student-and-emerging-professionals-committeethe-artlife-connundrum-creating-balance-between-a-career-in-the-arts-and-life-concerns/","Sessions",2015-02-11 12:30:00,2015-02-11 14:00:00,"Hilton New York, 2nd Floor, Sutton Parlor Center","Megan Young, Dishman Art Museum",""
"CAA Annual Conference CommitteeBusiness Meeting","http://conference.collegeart.org/programs/caa-annual-conference-committeebusiness-meeting/","Meetings",2015-02-11 12:30:00,2015-02-11 14:00:00,"Hilton New York, 2nd Floor, Bryant Suite",NA,""
"National Council on Education for the Ceramic ArtsTerracotta…the New Black: Clay Crosses Over","http://conference.collegeart.org/programs/national-council-on-education-for-the-ceramic-artsterracotta-the-new-black-clay-crosses-over/","Sessions",2015-02-11 12:30:00,2015-02-11 14:00:00,"Hilton New York, 3rd Floor, West Ballroom","Paul Sacaridiz, University of Wisconsin–Madison; Joshua Green, National Council on Education for the Ceramic Arts","Adam Shiverdecker, Greenwich House Pottery; Nicole Cherubini, independent artist; Lisa Sanditz, Bard College; Francesca D; attio, independent artist"
"Mellon Research InitiativeField/Work: Object and Site, Archaeology","http://conference.collegeart.org/programs/mellon-research-initiativefieldwork-object-and-site-archaeology/","Sessions",2015-02-11 12:30:00,2015-02-11 14:00:00,"Institute of Fine Arts, 1st Floor, Lecture Hall, 1 East 78th Street","David O’Connor, Institute of Fine Arts, New York University","Sheila Bonde, Brown University; Clemente Marconi, Institute of Fine Arts, New York University; Robert W. Preucel, Haffenreffer Museum of Anthropology, Brown University"
"Association of Art Museum CuratorsExploring New Models of Curatorial Scholarship","http://conference.collegeart.org/programs/association-of-art-museum-curatorsexploring-new-models-of-curatorial-scholarship/","Sessions",2015-02-11 12:30:00,2015-02-11 14:00:00,"Hilton New York, 2nd Floor, Sutton Parlor South","Emily Neff, Fred Jones Jr. Museum of Art, University of Oklahoma",""
"International Association of Word and Image StudiesQuestionning Artist’s Books","http://conference.collegeart.org/programs/international-association-of-word-and-image-studiesquestionning-artists-books/","Sessions",2015-02-11 12:30:00,2015-02-11 14:00:00,"Hilton New York, 2nd Floor, Morgan Suite","Philippe Kaenel, Universite de Lausanne","“Reading” Sculptural Bookworks; Anna S. Arnar, Minnesota State University Moorhead; Artist’s Book as Landscape: Scattered Words, Trails of Posterity; Lada Wilson, University of Dundee; When Artists’ Books Become Image Atlases; Nigel Saint, University of Leeds"
"CAA Professional Practices CommitteeAdvanced Degrees in Art and Design: Different Directions and Perspectives","http://conference.collegeart.org/programs/caa-professional-practices-committeeadvanced-degrees-in-art-and-design-different-directions-and-perspectives/","Sessions",2015-02-11 12:30:00,2015-02-11 14:00:00,"Hilton New York, 3rd Floor, Rendezvous Trianon","Jim Hopfensperger, Western Michigan University","Stacy M. Miller, Parsons The New School for Design; Bruce M. Mackh, University of Michigan and Art; ngine; John J. Richardson, Wayne State University"
"European Postwar and Contemporary Art ForumThe Cobra Movement: New Perspectives","http://conference.collegeart.org/programs/european-postwar-and-contemporary-art-forum-the-cobra-movement-new-perspectives/","Sessions",2015-02-11 12:30:00,2015-02-11 14:00:00,"Hilton New York, 2nd Floor, Madison Suite","Karen Kurczynski, University of Massachusetts, Amherst","Dotremont and Jorn: The Summer of 1948; Axel Heil, Fluid Studio and Art Academy of Karlsruhe; Cobra and Psychopathological Art in Paris, 1950; Brenda Zwart, Zwart Projects, Amsterdam; Luc De Heusch Filming Cobra Artists at Work; Steven Jacobs, Ghent University; The Legacy of Play in Cobra: Constant Nieuwenhuys and Ludic Conceptualism; Janna Therese Schoenberger, The Graduate Center, City University of New York"
"Midwestern Art History SocietyIcons of the Midwest: Rembrandt’s Lucretia at the Minneapolis Institute of Arts","http://conference.collegeart.org/programs/midwestern-art-history-societyicons-of-the-midwest-rembrandt-lucretia-at-the-minneapolis-institute-of-arts/","Sessions",2015-02-11 12:30:00,2015-02-11 14:00:00,"Hilton New York, 2nd Floor, Clinton Suite","Henry Luttikhuizen, Calvin College","Rembrandt’s Lucretia: A Curatorial Perspective; Tom Rassieur, Minneapolis Institute of Arts; Rembrandt’s Lucretia: Narrative Strategy; Shelley Perlove, University of Michigan; A Feminist Perspective on Rembrandt’s Lucretia; Frima Fox Hofrichter, Pratt Institute"
"Pacific Arts AssociationMission Accomplished? The Legacy of Religious Missionary Movements on the Art of Oceania","http://conference.collegeart.org/programs/pacific-arts-associationmission-accomplished-the-legacy-of-religious-missionary-movements-on-the-art-of-oceania/","Sessions",2015-02-11 12:30:00,2015-02-11 14:00:00,"Hilton New York, 2nd Floor, Regent Parlor","Carol Mayer, University of British Columbia","Connecting Souls: Kamoro Art and Missionary Patronage in West Papua; Karen Jacobs, University of East Anglia; Early Missionary Activity on Erromango and Its Impact on Local Material Culture; Barbara Lawson, Redpath Museum, M; ill University; Between the Cross and the Cloth; Fanny Wonu Veys, Nationaal Museum van Wereldculturen"
"Italian Art SocietyDi politica: Intersections of Italian Art and Politics since World War II","http://conference.collegeart.org/programs/italian-art-societydi-politica-intersections-of-italian-art-and-politics-since-world-war-ii/","Sessions",2015-02-11 12:30:00,2015-02-11 14:00:00,"Hilton New York, 2nd Floor, Nassau Suite","Elizabeth Mangini, California College of the Arts; Christopher Bennett, independent scholar","The Material of Labor: Art, the Esposizione Internazionale del Lavoro, and Italia 1961; Marin R. Sullivan, Keene State College; Heretical Aesthetics: Pier Paolo Pasolini and the Problem of Abstraction; Ara Hagop Merjian, New York University; Piero Gilardi: Being a “Militant” Artist during and after 1968; Maria De Vivo, Università degli Studi di Napoli L’Orientale; The Cultural Praxis of the Italian Movement of 1977; Danilo Mariscalco, Università degli Studi di Palermo; Discussant: Jacopo Galimberti, independent scholar"
"Association for Critical Race Art HistoryBuilding a Multiracial American Past","http://conference.collegeart.org/programs/association-for-critical-race-art-historybuilding-a-multiracial-american-past/","Sessions",2015-02-11 12:30:00,2015-02-11 14:00:00,"Hilton New York, 2nd Floor, Sutton Parlor Center","Susanna Gold, New York Public Library, Schomburg Center for Research in Black Culture","The Drop Sinister: Harry Watrous’s Visualization of the ‘One Drop Rule’; Mey-Yen Moriuchi, La Salle University; You Are What You Eat: Racial Transformation and Miscegenation in Nineteenth-Century Representations of Food; Shana Klein, University of New Mexico; ‘Half-Breed': Picturing Native American Identity in the Early Nineteenth Century; Elizabeth W. Hutchinson, Barnard College, Columbia University"
"CAA Services to Artists CommitteeAre We There Yet: Creative Communities Outside of Art Centers","http://conference.collegeart.org/programs/caa-services-to-artists-committeeare-we-there-yet-creative-communities-outside-of-art-centers/","ARTspace Session",2015-02-11 12:30:00,2015-02-11 14:00:00,"Hilton New York, 2nd Floor, Murray Hill Suite","Steven Rossi, State University of New York at New Paltz; David J. Brown, Fine Art Museum, Western Carolina University","Marcus Civin, Maryland Institute College of Art; Olivia Nitis, Experimental Project Association; Ciprian Ciuclea, Experimental Project Association; Emma Wilcox, Gallery Aferro; Evonne Davis, Gallery Aferro; George Scheer, Elsewhere;  ; Matthew Slaats, The Bridge Progressive Arts Initiative"
"Are We There Yet: Creative Communities Outside of Art Centers","http://conference.collegeart.org/programs/are-we-there-yet-creative-communities-outside-of-art-centers/","ARTspace",2015-02-11 12:30:00,2015-02-11 14:00:00,NA,NA,"Chair Steve Rossi, State University of New York at New Palt; o-Chair David J. Brown, Western Carolina University Fine Art Museum; Abstract; Join artists and arts organizations to discuss some of benefits (and challenges) to making art in a creative community outside of an established art center. Panelists will discuss, what attracted (or repelled) them from the larger centers; what organizations and community groups they have partnered with; new ways to measure “success;” how to help nurture the community in the role as artist; and more!; Panelists; Marcus Civin, Maryland Institute, College of Art; Olivia Nitis, Experimental Project Association; Ciprian Ciuclea, Experimental Project Association; Emma Wilcox and Evonne Davis, Gallery Aferro; George Scheer, Elsewhere; Matthew Slaats, The Bridge"
"Media Lounge Video Screenings: Programs 1 and 2","http://conference.collegeart.org/programs/media-lounge-video-screenings-programs-1-and-2/","ARTspace",2015-02-11 14:00:00,2015-02-11 17:00:00,"New York Hilton, 2nd Floor, Gibson Room",NA,"Followed by Q+A discussion with video artists and curators.; PROGRAM 1:; Mobile Strategies Replace Finished Recipes, or in the Words of Gilles Deleuze, “Amid Things but in the Center of Nothing”; A program of videos that explore reenactments of the mundane, exhilarating and bizarre normalcies, popular appropriation, and the skewering of everyday injustices in the art world.; Shana Moulto; estless Leg Saga; 2012, 7:14 min, color, sound; Ryan Trecarti; tem Falls; 2013, 25:44 min, color, sound; Andrew Lamper; aste Test; 2011, 2:40 min, color, sound; Kalup Linz; onversations wit de Churen IV: Play Wit de Churen; 2005, 15:49 min, color, sound; Leslie Thornto; ahara/Mojave; 2006, 12 min, color, sound; C. Spencer Yeh; Spectacle Theater trailer; TBD;  ; PROGRAM 2: ; Infrastructure Interference, or in the Words of Donna Haraway, “In Short, We Are Cyborgs”; A program of short videos featuring arbiters of digital appropriation and intervention, from proto-Yo; ube to pre-Post-Net Art post-net art, from hacked video games to retooled music videos.; Seth Pric; igital Video Effect: “Editions”; 2006, 12 min, color, sound; Paul Slocu; rt Boom Performance; TBD; Dara Birnbau; op-Pop Video; 1980, 9 min, color, sound; Peggy Ahwes; he Puppet; 2001, 15 min, color, sound; JODIMy Desktop OS X 10.4.7; 2007, 7:53 min, color, sound; Jacob Ciocc; ooty Melt; 2008, 3:05 min, color, sound; Jacob Ciocc; he Peace Tape; 2008, 4 min, color, sound; Kristin Luca; able Xcess; 1996, 4:48 min, color, sound; Cory Arcange; each Boys/Geto Boys; 2004, 4:13 min, color, sound"
"Copyright and the Visual Arts in America: A Historical Perspective","http://conference.collegeart.org/programs/copyright-and-the-visual-arts-in-america-a-historical-perspective/","Sessions",2015-02-11 14:30:00,2015-02-11 17:00:00,"Hilton New York, 2nd Floor, Nassau Suite","Marie-Stephanie Delamaire, Columbia University; Mazie M. Harris, J. Paul Getty Museum","To Wit: The Ownership of Visual Humor in Early America; Allison M. Stagg, Technische Universität Berlin; “The Eye of Genius”: Photographic Authorship in M. A. Root’s The Camera and the Pencil; Katherine Mintie, University of California, Berkeley; Signature, Singularity, and the Burden of Artistic Proof in the Photography of Napoleon Sarony; Erin Pauwels, Indiana University; Discussant: Sarah Burstein, University of Oklahoma"
